ENTRYID	form	gloss	CONCEPTICON_GLOSS	CONCEPTICON_ID	gfn	language	source	srcid	note
182915	lɯn³⁵ xɑi⁵⁵	top	ABOVE	1741	592	Deng	ZMYYC		
230957	kɯm⁵⁵ blui⁵⁵	all / even	ALL	98	592	Deng	ZMYYC		
188015	tɕu³¹ kɹik⁵³	ant	ANT	587	592	Deng	ZMYYC		
193523	plɑ⁵⁵ mu⁵⁵	armpit	ARMPIT	1886	592	Deng	ZMYYC		
223919	mɯ³¹ phɑn⁵⁵	bad	BAD	1292	592	Deng	ZMYYC		
189341	mɑ̆i⁵⁵ blɑ⁵³	bamboo	BAMBOO	1927	592	Deng	ZMYYC		
189647	kɯ³¹ tsɑuŋ⁵⁵	barley (Tibetan)	BARLEY	932	592	Deng	ZMYYC		
219839	kɯ³¹ ɹɑ̆ŋ³⁵	alive	BE ALIVE	1422	592	Deng	ZMYYC		
193268	dɑ̆k⁵³	belly	BELLY	1251	592	Deng	ZMYYC		
182966	ju⁵⁵ wɑŋ⁵⁵ lɑm³⁵	underneath	BELOW OR UNDER	1485	592	Deng	ZMYYC		
220808	kɯ³¹ tɑi³⁵	big	BIG	1202	592	Deng	ZMYYC		
187250	wɑ³⁵	bird	BIRD	937	592	Deng	ZMYYC		
207293	sɑ̆k⁵⁵	bite	BITE	1403	592	Deng	ZMYYC		
222899	kɑ³¹ im³⁵	black	BLACK	163	592	Deng	ZMYYC		
193676	ɑ³¹ ɹui³⁵	blood	BLOOD	946	592	Deng	ZMYYC		
218411	xut³⁵	blow (of wind)	BLOW (OF WIND)	175	592	Deng	ZMYYC		
191483	ŋkhɑ̆i³⁵	branch	BRANCH	1531	592	Deng	ZMYYC		
193217	tɕin⁵⁵ mphɑuŋ⁵³	breast	BREAST	1402	592	Deng	ZMYYC		
211424	ɕip⁵⁵	buy	BUY	1869	592	Deng	ZMYYC		
207344	tɕɑ⁵⁵ xɑi⁵⁵	chew	CHEW	321	592	Deng	ZMYYC		
195053	sɑ⁵³	child	CHILD (YOUNG HUMAN)	1304	592	Deng	ZMYYC		
188882	ntshɑ̆n⁵³	claw	CLAW OR NAIL	2128	592	Deng	ZMYYC		
180314	kɑ⁵⁵ mɑ̆i³⁵	cloud	CLOUD	1489	592	Deng	ZMYYC		
225092	tsoŋ⁵³	cold	COLD	1287	592	Deng	ZMYYC		
217595	xu⁵³	come	COME	1446	592	Deng	ZMYYC		
226010	kɯ³¹ pioŋ⁵³	right / correct	CORRECT (RIGHT)	1725	592	Deng	ZMYYC		
211526	xɑ³¹ tsɯt⁵⁵	count	COUNT	1420	592	Deng	ZMYYC		
222542	ɹɯm⁵³ lɑ³⁵	dark	DARK	706	592	Deng	ZMYYC		
197348	sɑ⁵⁵ mɑi³⁵	daughter	DAUGHTER	1357	592	Deng	ZMYYC		
180722	pɑm⁵⁵ dʑi⁵⁵	dew	DEW	1977	592	Deng	ZMYYC		
219788	si⁵³	die	DIE	1494	592	Deng	ZMYYC		
210455	guɑ³⁵; son³⁵	dig	DIG	1418	592	Deng	ZMYYC		
223562	kɑ³¹ so⁵³	dirty	DIRTY	1230	592	Deng	ZMYYC		
186077	kui⁵⁵	dog	DOG	2009	592	Deng	ZMYYC		
206477	kɑ³¹ muŋ³⁵	dream	DREAM	2374	592	Deng	ZMYYC		
207242	tɑuŋ⁵⁵	drink	DRINK	1401	592	Deng	ZMYYC		
224072	sɑl⁵³	dry	DRY	1398	592	Deng	ZMYYC		
209588	kɑm⁵⁵	dwell / live	DWELL (LIVE, RESIDE)	363	592	Deng	ZMYYC		
224480	tɯ³¹ ɹuɑŋ⁵⁵ nɑi⁵³	early	EARLY	672	592	Deng	ZMYYC		
181589	nɑi³⁵	earth	EARTH (SOIL)	1228	592	Deng	ZMYYC		
188474	pɯ³¹ lit³⁵	earthworm	EARTHWORM	2350	592	Deng	ZMYYC		
188678	kɹai⁵⁵ sit⁵⁵	egg	EGG	744	592	Deng	ZMYYC		
226826	gɹɯn⁵³	eight	EIGHT	1705	592	Deng	ZMYYC		
192146	min⁵⁵	eye	EYE	1248	592	Deng	ZMYYC		
221675	klɑm⁵⁵	far	FAR	1406	592	Deng	ZMYYC		
196277	pɑ̆i³⁵	father	FATHER	1217	592	Deng	ZMYYC		
188831	bɯl³⁵	feather	FEATHER	1201	592	Deng	ZMYYC		
216167	dɑ̆m⁵⁵ kɹɑu⁵⁵	fight	FIGHT	1423	592	Deng	ZMYYC		
182303	mɑ̆i⁵³	fire	FIRE	221	592	Deng	ZMYYC		
203876	sɑ̆ŋ³⁵ khliŋ⁵⁵	firewood	FIREWOOD	10	592	Deng	ZMYYC		
187709	ɑ³¹ ŋɑ⁵⁵	fish	FISH	227	592	Deng	ZMYYC		
