GLOSS	CONCEPTICON_ID	CONCEPTICON_GLOSS
swell		
awake		
big (thick, wide)	Sagart-2019-250-11	big
branch	Sagart-2019-250-19	the branch
dry	Sagart-2019-250-40	dry
fire	Sagart-2019-250-54	the fire
month		
fireplace		
smell (v)	Sagart-2019-250-189	to smell (perceive odor) [transitive]
spider	Sagart-2019-250-197	the spider
vomit	Sagart-2019-250-227	to vomit
pillow		
look, see	Sagart-2019-250-173	to see
storehouse, granary		
soft, smooth	Sagart-2019-250-194	soft
soft, smooth	Sagart-2019-250-191	smooth
insect		
thorn		
sweet		
liver/lungs	Sagart-2019-250-119	the liver
rainbow	Sagart-2019-250-157	the rainbow
gold		
garlic, onion		
excrete, defecate		
smoke (n.)	Sagart-2019-250-190	the smoke
flower	Sagart-2019-250-61	the flower
elbow		
skin	Sagart-2019-250-185	the skin
far	Sagart-2019-250-50	far
red	Sagart-2019-250-158	red
rub		
listen, hear	Sagart-2019-250-85	to hear
that (lower)	Sagart-2019-250-208	that
tired		???
dirty	Sagart-2019-250-36	dirty
walk	Sagart-2019-250-228	to walk
2SG	Sagart-2019-250-215	thou [second person singular]
"cane; rope"	Sagart-2019-250-165	the rope
eat	Sagart-2019-250-46	to eat
friend		
soil	Sagart-2019-250-44	the earth (soil)
bamboo (big)	Sagart-2019-250-6	the bamboo
spicy		
water	Sagart-2019-250-229	the water
deep		
die	Sagart-2019-250-34	to die
meat	Sagart-2019-250-126	the meat
five	Sagart-2019-250-57	five
sugarcane		
heavy	Sagart-2019-250-87	heavy
knife	Sagart-2019-250-107	knife
pestle		
elder brother		
full	Sagart-2019-250-73	full
where	Sagart-2019-250-234	where
younger sibling		
excrement	Sagart-2019-250-250	the shit
spittle		
think	Sagart-2019-250-213	to think (reflect)
star	Sagart-2019-250-200	the star
thread		
"have; exist"		
revenge		
ant	Sagart-2019-250-3	the ant
fight	Sagart-2019-250-53	to fight
sago palm		
body		
hard	Sagart-2019-250-82	hard
do		
tongue	Sagart-2019-250-222	the tongue
dream	Sagart-2019-250-38	the dream
hundred	Sagart-2019-250-98	hundred
sell		
this	Sagart-2019-250-214	this
heart	Sagart-2019-250-86	the heart
boil (water)		
salt	Sagart-2019-250-168	the salt
seed	Sagart-2019-250-174	the seed
straight	Sagart-2019-250-204	straight
(swidden) field		
put		
grass	Sagart-2019-250-77	the grass
ten	Sagart-2019-250-207	ten
aconite		
that	Sagart-2019-250-208	that
human		
tail	Sagart-2019-250-206	the tail
copula		
bow		
live, grow up		
mountain	Sagart-2019-250-132	the mountain
lick	Sagart-2019-250-115	to lick
back		
who	Sagart-2019-250-236	who
split		
light	Sagart-2019-250-117	light (of weight)
with		
nine	Sagart-2019-250-143	nine
bear		
vegetable		
pull	Sagart-2019-250-154	to pull
snow	Sagart-2019-250-193	the snow
round	Sagart-2019-250-166	round
otter	Sagart-2019-250-149	the otter
eye	Sagart-2019-250-49	the eye
hammer		
uncooked rice		
"mouth; language"	Sagart-2019-250-134	the mouth
white	Sagart-2019-250-235	white
2PL	Sagart-2019-250-248	you [second person plural]
yesterday	Sagart-2019-250-247	yesterday
what	Sagart-2019-250-232	what
bee		
hair	Sagart-2019-250-80	the hair (of the head)
thousand		
